model,tolerance,point_id,time,rewards,result
SMPL,0.01,0,4.91551727E8,0.00161061214900526;0.0907993537714952,1.5268049916432622
SMPL,0.01,1,3.0885503E7,0.0324097060829071;0.0699558861463325,1.525180064532389
SMPL,0.01,2,3.1108507E7,0.0027676290646455;0.184651484202579,1.3462104870429148
SMPL,0.01,3,3.1640417E7,0.00314475085342486;0.0635398227496928,1.5798489393914887
SMPL,0.01,4,3.3079704E7,3.10080103623378E-4;0.0410683997196451,1.6306401672562418
SMPL,0.01,5,3.0279068E7,8.36148160542616E-4;0.0883874521502612,1.5327597396519002
SMPL,0.01,6,3.0601059E7,9.3094464093979E-4;0.0881686676314353,1.5330607416717723
SMPL,0.01,7,3.126552E7,0.00998701290141263;0.107166038631845,1.482249188944917
SMPL,0.01,8,3.0838854E7,9.96676721870204E-4;0.058106008902764,1.5941591078055162
SMPL,0.01,9,3.0812686E7,0.0938098048418869;4.79903610582758,14.15148123286293
SMPL,0.01,10,3.0758072E7,5.56183445534375E-4;0.0566374050101594,1.597834855324356
SMPL,0.01,11,3.1122161E7,0.0112280632295487;1.09599832155577,0.512745861173283
SMPL,0.01,12,3.0914516E7,0.00119468680471141;0.0834394054543598,1.5421844879601263
SMPL,0.01,13,3.1188152E7,0.00187287900052835;0.171016527279728,1.3724072684939286
SMPL,0.01,14,3.0872419E7,0.00147964493175651;0.134368718299142,1.4417450828067846
SMPL,0.01,15,3.0998712E7,6.98455282191812E-4;0.0639549011420947,1.5825450805985617
SMPL,0.01,16,2.9788686E7,6.59585417807695E-4;0.0776061654985879,1.5547494765617582
SMPL,0.01,17,3.112216E7,0.00112123334394282;0.0607072297396036,1.5886118668920783
SMPL,0.01,18,3.0930444E7,5.09688640963069E-4;0.058646388158555,1.5937508018111137
SMPL,0.01,19,3.1866835E7,0.00114958800013892;0.0450682782626899,1.621037818783961
SMPL,0.01,20,3.1026019E7,8.96680785313353E-4;0.0643248786857269,1.5814973056969481
SMPL,0.01,21,3.1528916E7,5.59995312817141E-4;0.0519760517812946,1.6074932545839529
SMPL,0.01,22,3.0197717E7,0.00137914758512897;0.0913438317612194,1.5260521963270248
SMPL,0.01,23,3.092817E7,0.00238624411796634;0.0640884506186313,1.5798210407869848
SMPL,0.01,24,3.0175531E7,0.00115599347435574;0.121507058014083,1.4669858124829869
SMPL,0.01,25,3.1817342E7,0.00309176390655153;0.0593303046271527,1.5885928600088768
SMPL,0.01,26,3.0450303E7,5.39398529072421E-4;0.0802906730943138,1.5494909175332743
SMPL,0.01,27,3.1492506E7,0.00107653360723908;0.046186463052093,1.6188062808506722
SMPL,0.01,28,3.0736454E7,0.00157722713406305;0.0975998803396799,1.51329714672353
SMPL,0.01,29,3.1629039E7,8.56022747481422E-4;0.100672125297528,1.5082504766769116
SMPL,0.01,30,3.0826339E7,0.00130640424263317;0.049937489888412,1.610648976305388
SMPL,0.01,31,3.2173465E7,8.11936423620097E-4;0.0680843614474882,1.5739157078393087
SMPL,0.01,32,3.0810978E7,4.7970214133064E-4;0.0659217653692665,1.5788271188969265
SMPL,0.01,33,3.1259831E7,0.00114430988881198;0.0467252964934058,1.617582275052805
SMPL,0.01,34,3.1452115E7,0.0036076173835714;0.507101734571901,0.8645222205843011
SMPL,0.01,35,3.4046245E7,0.002270324214111;0.0618063791837882,1.5846808757211375
SMPL,0.01,36,3.2524469E7,5.95271337681114E-4;0.049232781368628,1.6131496588220668
SMPL,0.01,37,3.3770334E7,6.82592887601141E-4;0.0541051983161397,1.602895535081689
SMPL,0.01,38,3.098961E7,0.00577164681070252;0.0624138850625177,1.5783661975572514
SMPL,0.01,39,3.2998922E7,9.33343145747778E-4;0.0535517752536725,1.603679101277773
SMPL,0.01,40,3.0878108E7,3.28994793344639E-4;0.0420920479669936,1.6284643797568592
SMPL,0.01,41,3.1590924E7,0.0476118792310628;0.133153532080344,1.3792345788280775
SMPL,0.01,42,3.0515725E7,4.83170543157996E-4;0.0697264218972599,1.571037103261288
SMPL,0.01,43,3.1961839E7,9.10072223930969E-4;0.0962486215141086,1.5169521560265808
SMPL,0.01,44,3.1194978E7,9.3871757083086E-4;0.132810679635762,1.4455136593341091
SMPL,0.01,45,3.1915759E7,4.15905430409313E-4;0.0429812262681134,1.626473648949712
SMPL,0.01,46,3.0360419E7,0.00229870565302914;0.0977312581539438,1.5119895394996472
SMPL,0.01,47,3.326573E7,8.62857564155439E-4;0.0611493536896816,1.5880764152082087
SMPL,0.01,48,3.830551E7,7.6124735427241E-4;0.0950005579796027,1.5196527364150665
SMPL,0.01,49,3.3087669E7,5.49285878991002E-4;0.0450957297483494,1.62185254665348
SMPL,1.0E-4,0,4.22297E7,0.00161061214900526;0.0907993537714952,1.5268049916432622
SMPL,1.0E-4,1,3.4686813E7,0.0324097060829071;0.0699558861463325,1.525180064532389
SMPL,1.0E-4,2,3.1382142E7,0.0027676290646455;0.184651484202579,1.3462104870429148
SMPL,1.0E-4,3,3.2430034E7,0.00314475085342486;0.0635398227496928,1.5798489393914887
SMPL,1.0E-4,4,3.0564081E7,3.10080103623378E-4;0.0410683997196451,1.6306401672562418
SMPL,1.0E-4,5,3.1190996E7,8.36148160542616E-4;0.0883874521502612,1.5327597396519002
SMPL,1.0E-4,6,3.087697E7,9.3094464093979E-4;0.0881686676314353,1.5330607416717723
