model,tolerance,point_id,time,rewards,result
FIL3,0.01,0,431541864,0.967044313138506;2.84533012419973;0.879597743127029;0.998688067934193,0.775108615463023
FIL3,0.01,1,33781611,0.987835807227298;2.97122388527071;0.98351401144364;0.999874066599768,1.05713650066184
FIL3,0.01,2,39107352,0.90607942968532;2.82655257017369;1.03257531664233;0.887897823846044,0.811218277718249
FIL3,0.01,3,37081099,0.988700579769855;2.98123585638528;0.992823259854357;0.999712016761072,1.08196005823236
FIL3,0.01,4,38666804,0.976254666847643;2.94746958346004;0.971483957484775;0.999730959127626,0.998413980089565
FIL3,0.01,5,35799813,0.983815075833862;2.97269419616748;0.989387153988623;0.999491966344997,1.06041020426099
FIL3,0.01,6,38665410,0.963619928875881;2.93722880170096;0.977375818221015;0.996233054604068,0.974852365937052
FIL3,0.01,7,36288625,0.844081158343105;2.81163909881457;0.969962112935201;0.997595827536267,0.693974547176034
FIL3,0.01,8,35058950,0.989871608683164;2.98125194490484;0.991504626141367;0.999875710080313,1.08204947281611
FIL3,0.01,9,30032726,0.987835720918457;2.98191242604484;0.99393917335764;1.00013753176874,1.08321848684538
FIL3,0.01,10,30433086,0.986632468564808;2.97909428732142;0.992810074726592;0.999651744030024,1.07642592308005
FIL3,0.01,11,31974833,0.964902465505534;2.93919136637627;0.977946641228554;0.996342259642187,0.979559922850279
FIL3,0.01,12,30223184,0.880162694825974;2.80569160705575;0.939296283765108;0.986232628464673,0.687664022868742
FIL3,0.01,13,34441893,0.840784895403266;2.72505046282366;0.911381325815232;0.972884241605164,0.541264472473025
FIL3,0.01,14,32520700,0.825267609048754;2.09020664574665;0.834860892256619;0.430078144441277,0.424958616635881
FIL3,0.01,15,32682828,0.979783767934674;2.96831177227506;0.989286687060464;0.999241317279918,1.04933504851016
FIL3,0.01,16,30102778,0.982305962597013;2.96950207719643;0.988250435659889;0.99894567893953,1.05277759917533
FIL3,0.01,17,31822521,0.985035483527915;2.9585115138755;0.973848239698637;0.999627790648951,1.0261645375343
FIL3,0.01,18,29696474,0.911991185754855;2.85148894887662;0.956059788618203;0.983437974503564,0.786053947259808
FIL3,0.01,19,31957834,0.986837665072113;2.97962320043443;0.993097859508057;0.999687675854259,1.07773521729926
FIL3,0.01,20,33655877,0.988911085117933;2.98270039120722;0.994139032411676;0.999650273677607,1.08566092910205
FIL3,0.01,21,33031486,0.982728040150119;2.97351071010893;0.991234871651011;0.999547798307805,1.06223089272387
FIL3,0.01,22,30101436,0.98552009289493;2.97492684108546;0.989681745508464;0.999725002682065,1.06595810414413
FIL3,0.01,23,33517888,0.982825056772491;2.97490264644299;0.992671636375907;0.999405953294589,1.0657656944566
FIL3,0.01,24,30047735,0.97486795402155;2.96529836616393;0.991121482298437;0.999308929843941,1.04134064715327
FIL3,0.01,25,32631287,0.764477725447073;2.56373078380397;0.83974392208691;0.959509136269982,0.295676201007449
FIL3,0.01,26,30004985,0.979520564312479;2.97715223473815;0.996245682513223;1.00138598791245,1.06952524773807
FIL3,0.01,27,31001936,0.951598993502405;2.80406017000981;0.861348593711741;0.991112582795668,0.694535846980283
FIL3,0.01,28,33565488,0.975146199391404;2.94751620558091;0.978735279206297;0.993634726983207,1.00246954999778
FIL3,0.01,29,30674736,0.967783746215209;2.94538430524676;0.980337554366214;0.997263004665336,0.993954404384453
