model,tolerance,point_id,time,rewards,result
FIL3,0.01,0,225921326,0.7557410074;0.8167346039;0.9876201251;2.560095736,0.287770127481954
FIL3,0.01,1,193138404,0.7250850658;0.7978283842;0.9827894117;2.505702862,0.225193988868959
FIL3,0.01,2,189752301,0.5411793209;0.4695556396;0.9526532369;1.963388197,0.036142471644574
FIL3,0.01,3,171473008,0.6859834257;0.6970900887;0.939584377;2.322657891,0.070667564695499
FIL3,0.01,4,173161349,0.3497465516;0.3177001152;0.8800767007;1.547523368,0.458947060564124
FIL3,0.01,5,195283196,0.07082300145;0.1080522373;0.6563948889;0.8352701276,2.23965376060671
FIL3,0.01,6,171779879,0.7318259462;0.70255774;0.9818959486;2.416279635,0.126325305992106
FIL3,0.01,7,172385953,0.616478207;0.7498045007;0.9801687116;2.346451419,0.093796272918972
FIL3,0.01,8,203166859,0.1786446475;0.2608376116;0.7529691881;1.192451447,1.18142101506117
FIL3,0.01,9,240826469,0.1930053758;0.1428746035;0.7864582483;1.122338228,1.37087765174107
FIL3,0.01,10,195796988,0.4924083045;0.483935643;0.6118895951;1.588233543,0.433680749971013
FIL3,0.01,11,185052983,0.671757966;0.7151533246;0.9773989621;2.364310253,0.092126387388781
FIL3,0.01,12,187471204,0.1398533237;0.1377888547;0.7403422724;1.017984451,1.66148030525166
FIL3,0.01,13,189586817,0.7652660622;0.768543577;0.980777707;2.514587346,0.228392305239132
FIL3,0.01,14,205886920,0.5730549717;0.536030958;0.9641285083;2.073214438,0.004208243381841
FIL3,0.01,15,186767706,0.5578990718;0.5286210109;0.950555374;2.037075457,0.011096977123832
FIL3,0.01,16,210569318,0.5770029042;0.7224528894;0.9781359977;2.277591791,0.058370513515955
FIL3,0.01,17,186783425,0.5276645518;0.6716580049;0.9567509681;2.156073525,0.025916503581507
FIL3,0.01,18,186090502,0.6998580204;0.6948477888;0.9793391528;2.374044962,0.094319591541656
